pair_id,winner,confidence,reason
P0451,left,clear,right's 1.1:1 contrast is unreadable; left has 94% alt-text and readable text
P0452,left,slight,admission notices and 10/12 depth against 5/12; search covers the missing menu
P0453,left,clear,"programs and departments listed, plus readable text against 1.3:1 contrast"
P0454,right,slight,"five task items, twenty timed events posted today, and deeper service"
P0455,left,clear,right has no task content at all despite a 20-item menu
P0456,right,slight,a real menu with search and a faculty listing; left's 1.7:1 contrast is unreadable
P0457,right,clear,"complete task coverage, notices posted today, and 10/12 depth"
P0458,right,clear,"100% alt-text against 13%, a 10-item menu and notices posted today"
P0459,right,slight,fifteen dated timed events against an empty events section
P0460,left,slight,some task content and genuinely fresh timed events against none at all
P0461,right,slight,90% alt-text against 13% and readable contrast against 4.2:1
P0462,right,slight,"a working menu, notices posted today with twenty events, and 91% alt-text"
P0463,left,slight,"department directory, a logo, and not 375 days stale"
P0464,right,clear,complete task coverage against contact alone
P0465,left,clear,right's 1.1:1 contrast is unreadable; left is also deeper
P0466,right,slight,100% alt-text against 52% and full technical setup
P0467,right,clear,complete task coverage and 9/12 depth against a single task item
P0468,left,slight,"a working menu, a contact route and some service depth against none"
P0469,right,slight,"faculty listing, notices five days old against 55, and deeper service"
P0470,left,slight,"75% alt-text against 22%, timed events and full technical setup"
P0471,right,slight,"search bar, breadcrumb and 48% alt-text against 17%"
P0472,right,slight,a real 11-item menu and dated timed events against a 0-item menu
P0473,left,clear,an academic programs listing and 100% alt-text against 69%
P0474,right,slight,"faculty listing, admissions policy, a wider menu and deeper service"
P0475,left,slight,7/12 service depth against 4/12 and an accessibility toggle
P0476,right,slight,"complete task coverage, an accessibility toggle and full technical setup"
P0477,left,clear,right lists no programs and its 1.3:1 contrast is unreadable
P0478,left,slight,"dated notices, deeper service and an accessibility toggle"
P0479,left,clear,"right has 1.4:1 contrast, mobile 0/100 and no programs listing"
P0480,left,clear,"search bar, 100% alt-text against 8%, readable contrast and accessible design"
P0481,right,clear,"a real 9-item menu against zero, a department directory and 11/12 depth"
P0482,right,clear,left's 1.1:1 contrast is unreadable; right is deeper with dated notices
P0483,left,clear,"right has one task item, is 641 days stale and has 19% alt-text"
P0484,right,slight,a page you can read and navigate beats one with 1.4:1 contrast and mobile 0
P0485,left,clear,"complete task coverage, posted today, 100% alt-text against 6%"
P0486,right,slight,"four broken links against 39, plus dated timed events and full technical setup"
P0487,right,slight,"breadcrumb, deeper service, timed events and no broken links against seven"
P0488,left,clear,complete task coverage against contact alone
P0489,left,clear,right has no task content at all
P0490,right,slight,100% alt-text against 48% and a department directory
P0491,right,slight,"complete task coverage, deeper service and 88% alt-text"
P0492,right,slight,five dated timed events and 88% alt-text with full technical setup
P0493,right,clear,"complete task coverage, notices posted today with nine events, 100% alt-text"
P0494,right,slight,"search bar, breadcrumb, 100% alt-text against 8%, and accessible design"
P0495,right,clear,"search bar, department and faculty listings, 10/12 depth and 100% alt-text"
P0496,right,slight,notices posted today with timed events and 100% alt-text against 67%
P0497,right,slight,"department directory, complete navigation and a notice board with events"
P0498,left,clear,right has no task content at all
P0499,right,slight,9/12 service depth against 5/12 and a notice board
P0500,left,slight,"fresher notices, 71% alt-text against 29%, and deeper service"
P0501,left,slight,"notices posted today with eleven timed events, and 68% alt-text against 14%"
P0502,right,slight,"both are unreadable at ~1:1 contrast, but right has a department directory and 100% alt-text"
P0503,right,clear,"left has no menu, no task content and no service depth"
P0504,left,slight,a wider menu and 8/12 service depth against 3/12
P0505,right,slight,"complete navigation with search and breadcrumb, plus nine events"
P0506,left,clear,"department directory, 97% alt-text against 63%, and deeper service"
P0507,left,slight,twenty timed events and 10/12 service depth against a static site
P0508,right,slight,left lists no academic programs; right also has 90% alt-text against 27%
P0509,left,slight,readable contrast and accessible design against 4.5:1 and none
P0510,left,clear,"a working menu, twenty timed events and 92% alt-text against 0%"
P0511,right,slight,"100% alt-text against 33%, deeper service and full technical setup"
P0512,right,clear,"five task items against two, 10/12 depth against 4/12, and 100% alt-text"
P0513,left,clear,"complete task coverage, a real menu and 94% alt-text against 5%"
P0514,right,slight,"a wider menu, accessible design and full technical setup"
P0515,left,slight,a wider menu and deeper service; both are poor on accessibility
P0516,left,slight,"complete task coverage, an accessibility toggle and full technical setup"
P0517,right,clear,left has no task content at all
P0518,left,slight,"notices posted today, deeper service, 83% alt-text and mobile 90"
P0519,right,slight,"notices posted today, 95% alt-text against 41%, and deeper service"
P0520,right,clear,"notices posted today with timed events, 100% alt-text and full technical setup"
P0521,right,slight,"faculty listing, notices posted today against 55 days, and a wider menu"
P0522,right,slight,"notices posted today, 100% alt-text and a wider menu"
P0523,left,clear,"programs and departments listed, which right lacks, plus mobile 100"
P0524,right,clear,complete task coverage and 10/12 depth against one task item
P0525,right,slight,"admission notices, notices posted today and 8/12 depth against 2/12"
P0526,right,clear,"a real menu with logo and search, 100% alt-text against 0%, and actual content"
P0527,left,slight,"96% alt-text against 31%, readable contrast and an accessibility toggle"
P0528,right,slight,"a real menu, admission notices, a department directory and dated timed events"
P0529,left,clear,five task items and 7/12 depth against contact alone and zero depth
P0530,left,slight,complete task coverage including admissions policy
P0531,left,slight,a real 6-item menu and readable contrast against 2.7:1 and a 1-item menu
P0532,right,slight,"both unreadable at 1.1:1, but right has complete task coverage and deeper service"
P0533,right,slight,"complete task coverage, a search bar, deeper service and an accessibility toggle"
P0534,right,clear,"full navigation, five task items, 11/12 depth and twelve timed events"
P0535,right,clear,"five task items against one, twenty timed events and 98% alt-text"
P0536,left,clear,"complete task coverage, 10/12 depth against 4/12, and 100% alt-text"
P0537,right,clear,"complete task coverage, fresh notices against 243 days stale, and no broken links"
P0538,left,slight,"complete task coverage, a search bar and breadcrumb navigation"
P0539,left,slight,"programs, contact and faculty listed against admission notices alone"
P0540,right,clear,"notices posted today, 95% alt-text against 62%, and a wider menu"
P0541,left,clear,"notices six days old against 243, deeper service and no broken links"
P0542,left,slight,an academic programs listing and five task items against two
P0543,left,slight,a 9-item menu and a department directory against a 0-item menu
P0544,left,slight,notices posted today with events against a site with no dated content
P0545,right,clear,left has three task items and 6/12 depth; right has none at all
P0546,right,slight,a working menu and more than twice the service depth
P0547,right,clear,"complete task coverage, eleven timed events and 100% alt-text against 2%"
P0548,left,clear,right has no menu and no task content at all
P0549,right,slight,"a contact route, which left lacks entirely, plus a wider menu"
P0550,right,slight,"a contact route and a logo, plus deeper service"
P0551,right,clear,"a real menu with logo and search, and 93% alt-text against 60%"
P0552,right,slight,88% alt-text against 2% and full technical setup
P0553,left,slight,98% alt-text against 31% and twenty events with times given
P0554,left,clear,right is an entirely empty page
P0555,right,slight,"department directory, breadcrumb, and no broken links against seven"
P0556,left,clear,right's 1.1:1 contrast is unreadable; left is deeper with 97% alt-text
P0557,right,clear,"a wider menu, 10/12 depth against 7/12, and 100% alt-text"
P0558,right,slight,a wider menu and 90% alt-text against 13%
P0559,left,slight,department directory and twenty events posted today
P0560,left,clear,"a real menu with search, readable contrast against 4.5:1, and fresher notices"
P0561,right,slight,"a logo, a search bar, twenty timed events and deeper service"
P0562,right,clear,"left has no HTTPS, no menu and 2% alt-text"
P0563,right,slight,a real menu and 98% alt-text against 73%
P0564,left,clear,right's 1.7:1 contrast is unreadable and it has 2/12 service depth
P0565,right,slight,7/12 service depth against 2/12 and a wider menu
P0566,left,clear,"complete task coverage, a search bar and 10/12 depth against 5/12"
P0567,left,slight,"100% alt-text against 40%, readable contrast, and no broken links"
P0568,right,slight,no broken links against 39 - a serious reliability failure
P0569,left,clear,"a real menu with search, a department directory and 100% alt-text"
P0570,left,slight,"faculty listing, notices posted today against 34 days, and deeper service"
P0571,left,clear,"right has no menu, no dated content, 0% alt-text and mobile 0/100"
P0572,right,slight,"dated notices, 86% alt-text against 17%, and a search bar"
P0573,right,slight,"admission notices, a department directory and dated content, despite the broken links"
P0574,left,clear,"five task items against two, 7/12 depth against 2/12, and no broken links"
P0575,right,slight,"admission notices, notices posted today, and nearly twice the service depth"
P0576,left,clear,"complete task coverage, notices posted today against 39 days, and nine events"
P0577,right,slight,"an academic programs listing, a real menu and no broken links against four"
P0578,right,clear,"a real menu with search, and 82% alt-text against 0%"
P0579,left,slight,"complete task coverage including a contact route, and deeper service"
P0580,right,slight,"five task items against two, 8/12 depth against 2/12, and no broken links"
P0581,left,clear,"right has no HTTPS, no menu and no contact route"
P0582,right,slight,a real menu and a contact route against neither
P0583,left,clear,right's 1.1:1 contrast is unreadable; left is fresh with timed events
P0584,right,clear,left has no menu and no task content at all
P0585,left,clear,"complete task coverage including contact, a real menu, and 100% alt-text"
P0586,right,slight,"a real menu, a department directory and notices posted today"
P0587,right,clear,left has no task content at all despite a wider menu
P0588,right,clear,complete task coverage and every service item present
P0589,left,slight,complete task coverage and notices posted today against 55 days old
P0590,left,slight,fresher notices with sixteen events and a wider menu
P0591,left,slight,a working menu and seventeen timed events posted today
P0592,left,clear,"100% alt-text against 13%, a search bar, and notices posted today"
P0593,left,clear,right has no task content at all
P0594,left,slight,"breadcrumb, dated notices, 100% alt-text and an accessibility toggle"
P0595,left,slight,"admission notices, twenty timed events and an accessibility toggle"
P0596,left,clear,an academic programs listing and notices posted today against 657 days stale
P0597,right,slight,"a real 8-item menu, 62% alt-text against 0%, and deeper service"
P0598,right,clear,"a real menu with search, 100% alt-text and notices posted today"
P0599,right,slight,"breadcrumb navigation, a wider menu, deeper service and nine timed events"
P0600,right,slight,"complete task coverage, a wider menu, deeper service and full technical setup"
P0601,right,clear,"a contact route, a logo, notices posted today, and deeper service"
P0602,left,slight,accessible design and a wider menu; both are badly stale
P0603,right,clear,"a real menu with search, 100% alt-text against 0%, and mobile 100 against 0"
P0604,left,slight,complete task coverage and dated notices
P0605,right,slight,"accessible design, an accessibility toggle and deeper service"
P0606,left,slight,"search bar, 90% alt-text against 62%, and full technical setup"
P0607,right,clear,"complete task coverage, 10/12 depth against 5/12, and 94% alt-text against 0%"
P0608,left,clear,"five task items against three, twenty timed events, and no broken links against 21"
P0609,left,clear,"complete task coverage, 100% alt-text against 0%, and deeper service"
P0610,left,slight,department directory and 8/12 service depth against 2/12
P0611,right,slight,"breadcrumb navigation, 11/12 depth and 98% alt-text against 43%"
P0612,left,clear,"complete task coverage with programs, 100% alt-text, and readable at every size"
P0613,right,slight,four task items and 11/12 depth against one task item and one service item
P0614,left,slight,a genuinely maintained notice board and a search bar against a 641-day-stale page
P0615,right,slight,"search bar, a wider menu and 11/12 service depth"
P0616,right,slight,readable text; left's 1.1:1 contrast puts its extra content out of reach
P0617,right,clear,complete task coverage and 8/12 depth against one task item 113 days stale
P0618,right,slight,"complete task coverage, 100% alt-text against 23%, and full technical setup"
P0619,left,slight,"a contact route, which right lacks entirely, plus a wider menu"
P0620,left,clear,"five task items against one, 10/12 depth against 1/12, and 100% alt-text"
P0621,right,slight,"complete navigation, no broken links against 39, and mobile 100"
P0622,left,clear,"a real menu with search, 100% alt-text against 11%, and accessible design"
P0623,right,clear,"a logo and search, twenty timed events posted today, and 11/12 depth against 4/12"
P0624,left,clear,right has no HTTPS and no contact route; left also has a real menu
P0625,right,clear,"left has 1.4:1 contrast, mobile 0/100 and no programs listing"
P0626,right,slight,"search bar, 63% alt-text against 17%, and no broken links"
P0627,left,slight,complete task coverage and a search bar
P0628,left,slight,"department directory, a wider menu, and not 662 days stale"
P0629,right,clear,"five task items against one, and 100% alt-text against 29%"
P0630,left,clear,"programs, departments and faculty listed, a search bar, and 100% alt-text against 0%"
P0631,left,clear,"search bar, dated notices with timed events, and 100% alt-text against 17%"
P0632,right,slight,"an academic programs listing, dated notices and deeper service"
P0633,left,slight,admission notices and twice the service depth
P0634,left,slight,dated notices with twenty timed events and deeper service
P0635,left,slight,"a real 10-item menu, deeper service and readable contrast against 2.7:1"
P0636,right,clear,"complete task coverage, a logo and search, and 100% alt-text against 0%"
P0637,left,slight,a real 8-item menu with breadcrumb and readable contrast against 4.5:1
P0638,left,slight,"a contact route, fresher notices with timed events, and deeper service"
P0639,left,slight,"a contact route, which right lacks entirely"
P0640,right,slight,"100% alt-text against 23%, a wider menu and full technical setup"
P0641,left,slight,"department and faculty listings, a wider menu and readable contrast"
P0642,left,slight,"complete task coverage, breadcrumb, deeper service and no broken links"
P0643,right,slight,"a real menu with search, a contact route and accessible design"
P0644,left,clear,"five task items against two, and right's 1.8:1 contrast is unreadable"
P0645,right,clear,"five task items against two, 9/12 depth against 2/12, and no broken links"
P0646,left,slight,dated notices and 97% alt-text against 43%
P0647,right,slight,"an academic programs listing, deeper service and no broken links"
P0648,left,clear,readable text; right's 1.1:1 contrast makes the page unusable
P0649,right,slight,a page you can actually read; left's 1.1:1 contrast puts all its content out of reach
P0650,left,clear,"complete task coverage, eleven timed events posted today, and 100% alt-text"
P0651,right,slight,"a contact route, a wider menu and a notice board"
P0652,right,slight,"notices posted today with seven events, and 78% alt-text against 62%"
P0653,left,slight,"department directory, notices posted today with events, and 92% alt-text against 48%"
P0654,left,slight,four task items against two and a search bar; both fail a baseline check
P0655,left,slight,no broken links against 39 and better alt-text
P0656,left,slight,"dated notices, deeper service and a wider menu"
P0657,right,clear,five task items against one and 9/12 depth against 1/12
P0658,right,slight,readable contrast against 2.4:1 and 10/12 service depth
P0659,right,clear,"four task items against one, 9/12 depth against 3/12, and a notice board"
P0660,right,slight,"a real menu, 90% alt-text against 2%, and deeper service"
P0661,right,slight,a real 8-item menu and twice the service depth
P0662,left,slight,"a search bar, breadcrumb, logo and deeper service"
P0663,left,clear,"four task items against one, 9/12 depth against 5/12, and dated notices"
P0664,left,clear,right has no menu and no task content at all
P0665,left,clear,"complete task coverage, notices posted today, and not 109 days stale"
P0666,left,slight,an academic programs listing and a dated notice board
P0667,right,clear,left's 1.1:1 contrast is unreadable; right is fresh with 92% alt-text
P0668,left,slight,right is an entirely empty page
P0669,left,clear,right's 1.0:1 contrast is invisible; left has twelve events and full technical setup
P0670,right,slight,"97% alt-text against 83%, deeper service and an accessibility toggle"
P0671,right,slight,five task items against one and more than twice the service depth
P0672,right,clear,"five task items against two, 100% alt-text against 74%, and no broken links"
P0673,left,clear,right's 1.8:1 contrast is unreadable and it has two task items
P0674,right,slight,"complete task coverage, 87% alt-text against 40%, and mobile 100"
P0675,left,slight,"53% alt-text against 15%, mobile 100, and no broken links against four"
P0676,right,slight,"a contact route, a full-height contrast and mobile 100 against a slightly fresher but contactless site"
P0677,right,slight,"breadcrumb, student portal, faq and 100% alt-text against a wider menu"
P0678,right,clear,1.1:1 contrast makes the left site's text effectively invisible
P0679,left,clear,the right site offers only a contact page behind a one-item menu
P0680,left,clear,"no menu, no tasks, no content at all on the left"
P0681,right,slight,a programs listing and real service depth against a two-year-stale board
P0682,right,clear,"programs, departments, 100% alt-text and a live notice board"
P0683,right,clear,"the left site has no menu, no tasks and 0% alt-text"
P0684,right,slight,86% alt-text against 14% and a notice board dated four days ago
P0685,left,clear,"the right site lists only notices, with no programs, contact or faculty"
P0686,left,slight,"admissions policy, faq, footer contact and mobile 100"
P0687,right,clear,the left site has no primary menu and 0% alt-text
P0688,right,slight,"fifteen upcoming events with date and time, and far better alt-text"
P0689,left,slight,a notice board updated yesterday against one two years dead
P0690,right,clear,the left site has no programs and no admission notices
P0691,left,slight,"library, prospectus, departments and fresh notices against a two-page site"
P0692,left,clear,"100% alt-text, mobile 100, ten service pages and notices posted today"
P0693,left,clear,twice the service depth and a notice board updated yesterday
P0694,right,slight,eleven dated upcoming events against a site with no notice board
P0695,left,slight,"the right site has a zero-item menu, no search and no admission notices"
P0696,left,slight,"deeper service pages, 97% alt-text and a board updated yesterday"
P0697,left,clear,1.8:1 contrast and only three service pages on the right
P0698,right,slight,a programs listing and a live board against one 657 days stale
P0699,left,slight,"library, careers, alumni and scholarships against a thin five-page site"
P0700,left,clear,"admissions policy, departments and eleven-item nav against 21 broken links"
P0701,right,clear,1.1:1 contrast leaves the left site's text unreadable whatever else it has
P0702,left,clear,"100% alt-text, notices posted today and eight service pages against a stale thin site"
P0703,right,slight,"departments, faculty and twice the service depth with far better alt-text"
P0704,right,clear,"the left site has a zero-item menu, no search and no admission notices"
P0705,left,clear,twenty dated upcoming events and eleven service pages against 1.8:1 contrast
P0706,right,slight,"a seven-item menu, search and full task coverage against a two-page site"
P0707,left,slight,97% alt-text against 17% and a notice board updated today
P0708,right,clear,"the left site has no menu, no contact route and 11% alt-text"
P0709,left,clear,"notices today, eight events, 100% alt-text and eleven service pages"
P0710,right,slight,"admissions policy, departments and admission notices the left site never lists"
P0711,left,clear,"the right site lists no programs, no contact and no admissions at all"
P0712,right,clear,39 broken links against a clean site with 100% alt-text
P0713,left,slight,"admissions policy, departments and sixteen events against a thinner site"
P0714,right,clear,"contact, departments, faculty and nine service pages against four"
P0715,right,clear,the left site offers only a contact page and a mission statement
P0716,right,slight,a contact route and footer contact against a site with none
P0717,right,slight,"a dated notice board, six timed events and deeper service pages"
P0718,left,clear,a contact route and 100% alt-text against a board 578 days stale
P0719,right,clear,"contact, notices posted today and a nine-item menu"
P0720,left,slight,a contact route and eighteen timed events against a site with neither
P0721,right,clear,"contact, departments, fresh notices and ten service pages"
P0722,right,clear,1.1:1 contrast and 16% alt-text against a well-built live site
P0723,right,slight,"a contact route, breadcrumb and 100% alt-text"
P0724,right,slight,"a seven-item menu, departments and better alt-text on both counts"
P0725,left,clear,"twenty timed events, full task coverage and ten service pages"
P0726,right,slight,"an admissions policy, a live notice board and 100% alt-text"
P0727,left,clear,a programs listing and nine service pages against a board 657 days stale
P0728,left,clear,"a contact route, fresher notices and deeper service pages"
P0729,left,slight,twenty timed events and a footer contact against an undated board
P0730,right,slight,97% alt-text against 53% and nine service pages against six
P0731,right,clear,the left site is not even served over https and has no menu
P0732,right,clear,the left site offers only a contact page and no programs
P0733,right,clear,"neither is on https, but 66% alt-text and eight service pages beat 2%"
P0734,right,clear,"the left site lists no programs, no contact and no admissions at all"
P0735,right,slight,"a contrast toggle, mobile 100 and careers and prospectus pages"
P0736,right,clear,"admission notices, a board updated five days ago and nine service pages"
P0737,left,slight,an admission notices route and three more service pages
P0738,right,slight,"an admissions policy, a live notice board and 100% alt-text"
P0739,right,slight,a nine-item menu against no menu at all and 0% alt-text
P0740,right,slight,a four-item menu and 96% alt-text against no navigation and 0%
P0741,right,slight,"twenty timed events, no broken links and eight service pages"
P0742,right,clear,the left site lists no programs and no admission notices
P0743,right,slight,"a contact route and a board updated today, neither site on https"
P0744,left,slight,"an admissions policy, departments and two more service pages"
P0745,right,slight,a dated board updated today and twice the service depth
P0746,right,slight,"an admission notices route, five timed events and a calendar"
P0747,right,slight,a contact route and notices today against a board 578 days stale
P0748,right,slight,"a contact route, nine service pages and 90% alt-text"
P0749,left,slight,90% alt-text against 17% and mobile 100 against 75
P0750,left,clear,2.4:1 contrast makes the right site's text unreadable
P0751,right,clear,"a seven-item menu, breadcrumb, dated notices and 96% alt-text"
P0752,right,slight,"an admissions policy, eight service pages and mobile 100 against a mobile 50 site"
P0753,right,slight,a notice board dated five days ago and 88% alt-text against 43%
P0754,right,slight,"admissions policy, departments, faculty and ten service pages"
P0755,left,slight,the right site is not served over https and has no contact route
P0756,right,clear,the left site lists nothing at all behind its twenty-item menu
P0757,left,slight,departments and a board 130 days old against one 662 days dead
P0758,left,clear,"the right site lists no programs, no contact and no admissions"
P0759,right,clear,"an admissions policy, notices today and ten service pages"
P0760,left,slight,"a programs listing the right site never offers, despite the broken links"
P0761,left,slight,a live notice board and 92% alt-text against a bare site with 0%
P0762,right,slight,100% alt-text and an admissions policy against 3% and 4.5:1
P0763,left,slight,"a notice board, news and five service pages against two"
P0764,left,slight,100% alt-text against 13% and a dated board against an undated one
P0765,right,clear,"an admissions policy, notices four days old and twenty timed events"
P0766,right,slight,"notices today, nine timed events and a breadcrumb trail"
P0767,left,slight,a two-item menu and search against a zero-item menu and no search
P0768,left,slight,"an admissions policy, a real menu and eight service pages"
P0769,right,clear,2.4:1 contrast makes the left site's text unreadable
P0770,right,clear,a real menu and a dated notice board against neither
P0771,left,clear,1.0:1 contrast leaves the right site's text completely invisible
P0772,right,clear,39 broken links against a clean site with an admissions policy
P0773,right,slight,"admission notices, a seven-item menu and notices posted yesterday"
P0774,left,slight,100% alt-text and seven service pages against 13% and two
P0775,right,clear,"the left site lists no programs, no contact and no admissions"
P0776,left,slight,2.7:1 contrast leaves the right site barely readable despite its content
P0777,right,clear,the left site lists no programs and no admission notices
P0778,right,slight,"an admissions policy, 100% alt-text and mobile 100"
P0779,right,clear,1.0:1 contrast leaves the left site's text completely invisible
P0780,left,slight,"nine service pages against five, a search box and a contrast toggle"
P0781,left,slight,a programs and departments listing the right site never offers
P0782,right,slight,twenty timed events and eleven service pages against four
P0783,left,slight,"ten events, prospectus and careers against a bare navigable shell"
P0784,left,slight,"a real menu, search and an admissions policy against a zero-item menu"
P0785,right,slight,ten service pages against five and a board updated yesterday
P0786,right,slight,"eight service pages, 16.9:1 contrast and a much faster load"
P0787,right,clear,"the left site has no menu, no programs and one service page"
P0788,right,slight,"neither site lists anything, but the right one can at least be navigated"
P0789,right,slight,"a four-item menu against a zero-item one, at equal freshness"
P0790,left,slight,"97% alt-text against 53%, dated notices and ten service pages"
P0791,right,slight,"admission notices, a board updated today and four timed events"
P0792,left,slight,2.4:1 contrast makes the right site's text unreadable
P0793,left,clear,an admissions policy and 100% alt-text against 3% and a 662-day board
P0794,left,slight,an admissions policy and twenty timed events against two
P0795,right,slight,twice the service depth and twenty timed events
P0796,left,clear,96% alt-text against 3% and a board not 662 days dead
P0797,left,slight,"notices today, twenty events and 100% alt-text"
P0798,left,clear,the right site scores 0 on mobile with no menu and 0% alt-text
P0799,left,slight,"an admissions policy, a search box and seven upcoming events"
P0800,right,slight,"an admissions policy, departments and a six-item menu"
P0801,right,slight,eight service pages against four and 100% alt-text at 14.5:1
P0802,left,slight,a programs listing and admission notices the right site never offers
P0803,right,slight,"a search box, nine service pages and 21:1 contrast with a toggle"
P0804,left,clear,"admission notices, departments and a board updated today"
P0805,left,slight,"a contact route, an admissions policy and a live notice board"
P0806,right,slight,"a dated board, sixteen events and nine service pages"
P0807,right,slight,a notice board updated today and 95% alt-text against 67%
P0808,right,clear,100% alt-text against 0% and mobile 100 with a real menu
P0809,left,clear,"the right site has no menu, no content and nothing to do"
P0810,right,clear,notices today and twenty timed events against a board 130 days stale
P0811,right,clear,83% alt-text against 2% and an eleven-item menu against none
P0812,right,slight,"https and a contact route, neither site having a menu"
P0813,left,clear,"the right site lists only notices, 641 days stale, behind two pages"
P0814,left,slight,"a contact route, an admissions policy and a board updated today"
P0815,left,slight,a contact route and a live board against a menu leading nowhere
P0816,right,slight,five upcoming events and a calendar against a board 578 days dead
P0817,left,slight,a contact route the right site never offers
P0818,left,slight,"an admissions policy, ten service pages and 100% alt-text"
P0819,right,slight,100% alt-text against 52% and a footer contact route
P0820,right,slight,"neither lists much, but the right site has search and admission notices"
P0821,right,clear,the left site offers only a contact page and 11% alt-text
P0822,left,clear,"a programs listing, eight service pages and no broken links"
P0823,right,clear,"a real menu, search and 65% alt-text against none and 0%"
P0824,left,slight,"twenty events, a calendar and a careers page"
P0825,right,clear,91% alt-text against 13% and twenty events against one
P0826,right,slight,ten service pages against four and 97% alt-text at 18.4:1
P0827,left,slight,a faculty listing and a board updated today against one 55 days old
P0828,left,slight,"a dated live board, deeper service pages and 96% alt-text"
P0829,left,slight,a programs listing the right site never offers
P0830,left,slight,"100% alt-text against 17%, mobile 100 and nine timed events"
P0831,left,slight,"https and a contact route, neither site having a menu"
P0832,left,slight,97% alt-text against 62% and a dated notice board
P0833,left,clear,notices today and twenty events against a site with neither
P0834,left,clear,100% alt-text against 14% and sixteen upcoming events
P0835,left,slight,100% alt-text against 52% and timed upcoming events
P0836,left,clear,"an admissions policy, a real menu and search against a zero-item menu"
P0837,left,slight,53% alt-text and 14.8:1 against 3% and 4.5:1 with no accessible design
P0838,right,clear,1.3:1 contrast and no programs or contact route on the left
P0839,right,slight,a contact route and notices four days old against a board 109 days stale
P0840,left,slight,a seven-item menu and search against no navigation at all
P0841,left,slight,twenty timed events and a dated board against a site where nothing happens
P0842,right,clear,1.1:1 contrast leaves the left site's text invisible
P0843,right,slight,100% alt-text against 3% and mobile 100 against a site at 4.5:1
P0844,right,slight,a contact route and a live board against a menu leading nowhere
P0845,right,clear,the left site lists nothing at all behind its twenty-item menu
P0846,right,clear,"an admissions policy, notices today and 100% alt-text against 6%"
P0847,right,slight,93% alt-text against 13% and one more service page
P0848,right,slight,"an admissions policy, 62% alt-text against 43% and mobile 100"
P0849,right,slight,a programs listing the left site never offers
P0850,right,clear,"an admissions policy, ten service pages and 94% alt-text against 13%"
P0851,left,slight,an admission notices route and twenty upcoming events against nine
P0852,left,clear,the right site lists nothing at all and has no menu
P0853,right,slight,a five-item menu and 94% alt-text against no menu and 2%
P0854,left,clear,eleven service pages and a live board against two pages and none
P0855,left,clear,a contact route and 100% alt-text against a board 578 days dead
P0856,left,clear,"the right site lists no programs, no contact and no admissions"
P0857,left,slight,"100% alt-text against 40%, mobile 100 and a much faster load"
P0858,right,clear,the left site lists nothing at all and has no menu
P0859,right,slight,"an admissions policy, ten service pages and mobile 100"
P0860,left,slight,a five-item menu and breadcrumb against no navigation at all
P0861,right,slight,seven service pages against four and a contrast toggle
P0862,left,clear,"a programs listing, nine service pages and 65% alt-text against 3%"
P0863,left,slight,a notice board updated today against a site with none
P0864,left,clear,the right site lists nothing at all and has no menu
P0865,left,slight,an admissions policy and twenty timed events against two
P0866,right,slight,"a dated board four days old, nine service pages and mobile 100"
P0867,left,slight,"an admissions policy, twenty timed events and an eleven-item menu"
P0868,left,clear,the right site lists nothing at all and has no menu
P0869,left,clear,"an eight-item menu, eleven timed events and nine service pages"
P0870,left,clear,"100% alt-text against 27%, ten service pages and departments"
P0871,left,clear,100% alt-text against 5% and a notice board updated today
P0872,left,clear,"admission notices, eight service pages and 73% alt-text against 13%"
P0873,left,slight,a programs listing the right site never offers
P0874,right,clear,1.1:1 contrast leaves the left site's text invisible
P0875,left,clear,"programs, contact and departments the right site never lists"
P0876,left,clear,the right site offers only a contact page and three service pages
P0877,right,slight,94% alt-text against 41% and a contrast toggle
P0878,right,clear,the left site lists nothing at all behind its twenty-item menu
P0879,left,slight,"an admissions policy, a contrast toggle and no broken links"
P0880,right,slight,100% alt-text against 2% and a six-item menu against none
P0881,right,clear,"15 broken links and 14% alt-text against a live, readable site"
P0882,left,slight,2.7:1 contrast leaves the right site barely readable
P0883,right,slight,a board updated today and twenty events against a site where nothing happens
P0884,right,clear,1.1:1 contrast leaves the left site's text invisible
P0885,left,slight,an admissions policy and admission notices the right site never offers
P0886,left,clear,100% alt-text against 6% and mobile 100 against a 130-day board
P0887,left,clear,"the right site lists no programs, no contact and no admissions"
P0888,right,clear,"an admissions policy, departments and a seven-item menu against none"
P0889,left,slight,an admission notices route and a board updated today
P0890,left,clear,the right site offers only a contact page and a mission statement
P0891,right,slight,100% alt-text against 3% and mobile 100 against a 4.5:1 site
P0892,left,slight,fifteen timed events and a contrast toggle against a two-item menu
P0893,left,slight,"a board updated today, 100% alt-text and a faculty listing"
P0894,left,slight,a contact route and a notice board the right site never offers
P0895,left,slight,an admissions policy and every service page a visitor could want
P0896,right,slight,1.0:1 contrast leaves the left site unreadable despite its depth
P0897,right,slight,"21:1 contrast, 96% alt-text, timed events and a breadcrumb trail"
P0898,left,slight,"a departments listing, twenty timed events and ten service pages"
P0899,left,slight,"97% alt-text at 18.4:1, ten service pages and no broken links"
P0900,right,clear,a programs listing and an admissions policy against a board 657 days dead
